fact_id,metric,value,unit,period,source_id,published_date,accessed_date,methodology,verified_status,stale_status,used_in_conclusion,notes
FACT-IO2026-004,io_api_tokens_per_minute,19,billion tokens/minute,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 model APIs processing roughly 19 billion tokens per minute,已核实,未过期,否,API 使用强度指标；需验证商业化单价和毛利
FACT-IO2026-005,search_ai_overviews_mau,2.5,billion monthly active users,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 AI Overviews over 2.5 billion monthly active users,已核实,未过期,否,Search AI 渗透指标；需跟踪广告 monetization 与点击行为
FACT-IO2026-006,search_ai_mode_mau,1.0,billion monthly active users,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 AI Mode surpassed 1 billion monthly active users in about a year,已核实,未过期,否,Search 产品改版验证点；需跟踪是否保护或稀释广告收入
FACT-IO2026-007,gemini_app_mau,900,million monthly active users,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 Gemini app surpassed 900 million monthly active users,已核实,未过期,否,消费者 AI 分发指标；需验证付费转化
FACT-IO2026-008,gemini_app_daily_requests_growth,7,x YoY,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 Gemini app daily requests grew over seven times in a year,已核实,未过期,否,使用强度指标；不直接等同收入
FACT-IO2026-009,expected_2026_capex_low,180,USD bn,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 2026 capex expected approximately 180 to 190 billion USD,已核实,未过期,否,重大 AI 投入压力；需与正式财报和现金流口径交叉核实
FACT-IO2026-010,expected_2026_capex_high,190,USD bn,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 2026 capex expected approximately 180 to 190 billion USD,已核实,未过期,否,重大 AI 投入压力；未纳入当前评分直到配置明确
FACT-IO2026-011,tpu8t_compute_vs_previous,3,x,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 TPU 8t nearly three times previous generation raw computing power,已核实,未过期,否,基础设施优势线索；需结合 Cloud 客户收入验证
FACT-IO2026-012,tpu8_distributed_scale,1.0,million+ TPUs,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 training can scale across more than 1 million TPUs globally,已核实,未过期,否,训练集群规模线索；需验证成本和利用率
FACT-IO2026-013,tpu8_perf_per_watt_improvement,2,x,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 TPU 8t/8i up to two times better performance per watt,已核实,未过期,否,单位能耗改善线索；需验证 capex/opex 回报
FACT-IO2026-014,gemini35_flash_speed_vs_frontier,4,x,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 Gemini 3.5 Flash output speed four times faster than other frontier models,已核实,未过期,否,模型竞争力线索；需验证外部基准和付费采用
FACT-IO2026-015,gemini35_flash_price_vs_frontier,0.5,relative price ceiling,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 Flash at less than half the price of comparable frontier models,已核实,未过期,否,成本优势线索；需结合公开 API 价格表
FACT-IO2026-016,gemini35_flash_potential_customer_savings,1.0,USD bn/year,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲示例称大型企业若 80% 工作负载转向 Flash 可节省 over 1bn USD annually,已核实,未过期,否,管理层示例；不是 Alphabet 已实现收入
FACT-IO2026-017,gemini35_pro_timing,next month,text,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 Gemini 3.5 Pro is used internally and coming next month,已核实,未过期,否,模型路线图；需下月核实发布
FACT-IO2026-018,gemini_spark_cloud_vm_mcp,24/7 agent,text,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 Gemini Spark runs on dedicated Google Cloud VMs and will integrate third-party tools through MCP,已核实,未过期,否,Agent 商业化线索；需验证付费采用
FACT-IO2026-019,gemini_omni_flash_availability,today,text,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 Gemini Omni Flash available starting today across Gemini app Flow and YouTube Shorts with APIs in coming weeks,已核实,未过期,否,多模态竞争线索；需验证使用量和收入
FACT-IO2026-020,ai_ultra_price,100,USD/month,Google I/O 2026,SRC-IO2026-DEVELOPER,2026-05-19,2026-05-20,官方开发者公告披露 Google AI Ultra subscription now starting at 100 USD/month,已核实,未过期,否,订阅商业化线索；需验证用户数和留存
FACT-IO2026-021,antigravity_2_agent_orchestration,available,text,Google I/O 2026,SRC-IO2026-DEVELOPER,2026-05-19,2026-05-20,官方开发者公告披露 Antigravity 2.0 standalone desktop application for orchestrating agents and parallel workflows,已核实,未过期,否,开发者 Agent 平台线索；需验证与 Cloud 付费转化
FACT-IO2026-022,daily_brief_agent,announced,text,Google I/O 2026,SRC-IO2026-GEMINI-APP,2026-05-19,2026-05-20,官方 Gemini App 公告披露 Daily Brief personalized morning digest across Gmail Calendar and tasks,已核实,未过期,否,消费者/Workspace Agent 线索；需验证隐私、付费和留存
FACT-2026Q1-012,google_services_operating_margin_pct,45.3,%,2026Q1,SRC-2026Q1-ER,2026-04-29,2026-05-21,Google Services operating income 40.589bn / Google Services revenue 89.637bn,已核实,未过期,是,作为 Search 利润质量代理；Alphabet 不单独披露 Search operating margin
FACT-SEARCH-202604-001,search_market_share_pct,90.04,%,2026-04,SRC-STATCOUNTER-SEARCH-202604,2026-04-30,2026-05-21,StatCounter worldwide search engine market share April 2026,已核实,未过期,是,第三方份额数据；作为 Search 护城河辅助指标
FACT-2025Q1-001,cloud_backlog_usd_bn_prior_year,92.4,USD bn,2025Q1,SRC-2025Q1-10Q,2025-04-25,2026-05-21,2025Q1 10-Q disclosed revenue backlog primarily related to Google Cloud,已核实,历史基准,否,历史基数；用于计算 2026Q1 原始 backlog 同比
FACT-2026Q1-013,cloud_backlog_growth_yoy_pct_raw,400.3,%,2026Q1,SRC-2026Q1-10Q,2026-04-30,2026-05-21,(462.3 - 92.4) / 92.4；2026Q1 backlog 口径变化导致不可完全可比,已核实,未过期,是,原始同比仅作方向性参考；不得解释为纯订单增长
FACT-2026Q1-014,ai_capex_roi_comment_score,55,0-100,2026Q1,SRC-2026Q1-ER,2026-04-29,2026-05-21,内部评分：I/O 使用量和 Cloud 增长强，但 CapEx/revenue 32.5%、FCF margin 9.2%、2026 capex guide 180-190bn 抑制 ROI 置信度,已核实,未过期,是,模型评分，不是公司披露事实；用于 AI ROI/FCF 维度
FACT-IO2026-023,io_official_articles_count,25,articles,Google I/O 2026,SRC-IO2026-COLLECTION,2026-05-19,2026-05-23,Google I/O 2026 官方公告集合显示 25 篇官方公告,已核实,未过期,否,说明 I/O 覆盖面广；不直接等同商业化成果
FACT-IO2026-024,ai_mode_query_growth_qoq,2,x QoQ,Google I/O 2026,SRC-IO2026-SEARCH,2026-05-19,2026-05-23,官方 Search 公告称 AI Mode queries more than doubling every quarter since launch,已核实,未过期,否,Search AI 使用强度正向线索；需验证广告变现和点击质量
FACT-IO2026-025,search_new_ai_box_rollout,today,text,Google I/O 2026,SRC-IO2026-SEARCH,2026-05-19,2026-05-23,官方 Search 公告称智能 AI Search box 于 AI Mode 可用国家和语言开始推出,已核实,未过期,否,产品改版线索；需观察用户行为和广告格式
FACT-IO2026-026,search_information_agents_launch,summer 2026,text,Google I/O 2026,SRC-IO2026-SEARCH,2026-05-19,2026-05-23,官方 Search 公告称 information agents 将于 2026 年夏季先面向 Google AI Pro 和 Ultra 用户推出,已核实,未过期,否,Agent 订阅权益线索；需验证付费转化
FACT-IO2026-027,gemini35_flash_terminal_bench,76.2,%,Google I/O 2026,SRC-IO2026-GEMINI35,2026-05-19,2026-05-23,官方 Gemini 3.5 公告披露 Gemini 3.5 Flash Terminal-Bench 2.1 得分 76.2%,已核实,未过期,否,模型能力线索；仍需第三方外部基准交叉验证
FACT-IO2026-028,gemini35_flash_output_speed_vs_frontier,4,x,Google I/O 2026,SRC-IO2026-GEMINI35,2026-05-19,2026-05-23,官方 Gemini 3.5 公告称 output tokens per second 为其他 frontier models 的 4 倍,已核实,未过期,否,推理成本/延迟优势线索；需验证定价和毛利
FACT-IO2026-029,ai_ultra_top_tier_price,200,USD/month,Google I/O 2026,SRC-IO2026-SUBSCRIPTIONS,2026-05-19,2026-05-23,官方订阅公告称顶级 AI Ultra 从 250 USD/month 降至 200 USD/month 且能力相同,已核实,未过期,否,价格下调有利采用但可能压低单位收入；需验证用户数
FACT-IO2026-030,gemini_spark_enterprise_secure_runtime,secure cloud runtime,text,Google I/O 2026,SRC-IO2026-CLOUD,2026-05-19,2026-05-23,官方 Cloud 公告称 Spark in Gemini Enterprise 使用 Google Cloud 托管安全运行时和隔离 VM，并可跨 Workspace/custom connectors/open web 工作,已核实,未过期,否,企业 Agent 商业化线索；需验证付费采用和合规接受度
FACT-MARKET-20260522-001,googl_close_price,382.97,USD/share,2026-05-22,SRC-MARKETBEAT-GOOGL-20260522;SRC-BENZINGA-GOOGL-20260522,2026-05-22,2026-05-23,MarketBeat 与 Benzinga 均显示 GOOGL 2026-05-22 收盘价 382.97,已核实,未过期,是,用于最新估值快照；行情数据随市场变化需每日更新
FACT-MARKET-20260522-002,benzinga_consensus_target_price,408.71,USD/share,2026-05-22,SRC-BENZINGA-GOOGL-20260522,2026-05-22,2026-05-23,Benzinga 35 位分析师共识目标价 408.71；最高 515；最低 310,已核实,未过期,否,二手聚合共识；仅作外部参考
FACT-MARKET-20260522-003,recent_analyst_average_target,444.33,USD/share,2026-05-22,SRC-BENZINGA-GOOGL-20260522,2026-05-22,2026-05-23,Benzinga 显示最近 Rosenblatt/KeyBanc/Citizens 三家平均目标价 444.33,已核实,未过期,否,近期分析师偏乐观；样本小，不单独作为基准目标价
FACT-MARKET-20260521-004,td_cowen_target_price,450,USD/share,Google I/O 2026,SRC-INVESTING-IO-ANALYSTS-20260521,2026-05-21,2026-05-23,Investing.com/Reuters 摘要称 TD Cowen I/O 后维持 Buy 和 450 目标价,已核实,未过期,否,二手新闻；原始研报未取得
FACT-MARKET-20260520-005,bofa_target_price_after_io,430,USD/share,Google I/O 2026,SRC-INVESTING-IO-ANALYSTS-20260521,2026-05-20,2026-05-23,Investing.com 摘要称 BofA I/O 后维持 Buy 和 430 目标价,已核实,未过期,否,二手新闻；原始研报未取得
FACT-MARKET-20260520-006,stifel_target_price_after_io,420,USD/share,Google I/O 2026,SRC-INVESTING-IO-ANALYSTS-20260521,2026-05-20,2026-05-23,Investing.com 摘要称 Stifel I/O 后维持 Buy 和 420 目标价,已核实,未过期,否,二手新闻；原始研报未取得
